Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HPA,APA,HPG,APG,HCR,ACR,HP,AP,HSZA,HSZB,HSZC,ASZA,ASZB,ASZC,FTHG_P,FTAG_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-08-09,Fulham,Chelsea,0,2,A,0,1,A,A Marriner,4,12,1,4,11,10,4,7,0,0,0,0,0,0,0,0,21,23,39.7,60.3,0,1,3,0,5,7,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-08-09,West Ham,Tottenham,1,2,A,0,0,D,M Clattenburg,17,17,8,10,13,11,4,8,2,1,0,0,0,0,0,0,20,25,46.9,53.1,0,8,9,1,8,9,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-08-09,Liverpool,Aston Villa,1,3,A,0,2,A,M Atkinson,21,7,12,4,15,11,10,4,3,2,0,0,0,1,0,1,37,18,67.4,32.6,4,9,9,1,3,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-08-09,Blackburn,West Ham,0,0,D,0,0,D,P Dowd,19,11,9,5,13,18,5,2,1,3,0,0,0,0,0,0,22,13,46.7,53.3,1,8,10,0,6,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-08-09,Bolton,Liverpool,2,3,A,1,1,D,A Wiley,8,26,5,14,14,7,5,11,3,1,1,0,0,0,0,0,16,39,22.2,77.8,1,1,6,3,15,9,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-08-09,Chelsea,Burnley,3,0,H,1,0,H,M Clattenburg,27,3,17,0,7,5,10,1,0,1,0,0,0,0,0,0,32,16,60,40,2,13,12,0,1,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-08-09,Man United,Arsenal,2,1,H,0,1,A,M Dean,10,9,4,3,21,15,6,5,3,6,0,0,1,0,1,0,26,28,51.1,48.9,0,6,4,0,5,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-08-09,Stoke,Sunderland,1,0,H,1,0,H,M Jones,13,9,7,6,9,8,10,10,0,2,0,0,0,0,0,0,23,30,45.3,54.7,1,7,5,0,6,3,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-08-09,Tottenham,Birmingham,2,1,H,0,0,D,P Walton,20,11,14,6,12,10,7,3,2,2,0,0,0,0,0,0,27,15,59.5,40.5,1,10,9,1,7,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29-08-09,Wolves,Hull,1,1,D,0,1,A,S Attwell,24,5,17,4,11,15,8,2,0,2,0,0,0,0,0,0,33,22,54.5,45.5,1,14,9,1,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-08-09,Aston Villa,Fulham,2,0,H,1,0,H,S Bennett,9,6,4,3,9,9,9,4,1,2,0,0,0,0,0,0,30,14,44.1,55.9,0,5,5,1,2,3,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-08-09,Everton,Wigan,2,1,H,0,0,D,L Probert,26,12,14,7,11,24,12,5,1,5,0,0,1,0,1,0,32,12,56.1,43.9,2,14,9,2,3,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-08-09,Portsmouth,Man City,0,1,A,0,1,A,H Webb,11,12,6,8,12,7,3,11,2,1,0,0,0,0,0,0,21,24,50,50,1,5,6,1,4,7,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-09-09,Blackburn,Wolves,3,1,H,1,0,H,S Bennett,13,9,10,5,13,16,10,6,1,2,0,0,0,0,0,0,28,24,53.4,46.6,4,5,5,1,5,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-09-09,Liverpool,Burnley,4,0,H,2,0,H,L Mason,27,6,16,3,8,10,7,5,0,2,0,0,0,0,0,0,26,17,60.4,39.6,4,9,15,0,3,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-09-09,Man City,Arsenal,4,2,H,1,0,H,M Clattenburg,10,19,6,9,13,12,3,12,3,2,0,0,0,0,0,0,13,41,39.1,60.9,0,5,5,2,12,6,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-09-09,Portsmouth,Bolton,2,3,A,1,2,A,C Foy,21,14,11,6,17,17,7,5,2,0,0,0,0,1,0,0,44,32,62.2,37.8,4,7,11,2,8,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-09-09,Stoke,Chelsea,1,2,A,1,1,D,M Dean,4,18,2,10,13,11,4,14,3,3,0,0,0,0,0,0,12,44,27.8,72.2,0,3,1,0,9,9,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-09-09,Sunderland,Hull,4,1,H,1,1,D,M Atkinson,7,6,4,5,18,15,7,8,2,2,0,0,1,0,1,0,29,26,51.4,48.6,1,4,3,1,3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-09-09,Tottenham,Man United,1,3,A,1,2,A,A Marriner,11,17,7,13,16,13,3,9,3,2,0,1,0,0,0,0,19,19,49.1,50.9,0,4,7,0,10,7,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-09-09,Wigan,West Ham,1,0,H,0,0,D,A Wiley,12,12,6,5,13,11,6,7,2,1,0,0,0,0,0,0,18,26,53,47,2,3,7,1,7,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-09-09,Birmingham,Aston Villa,0,1,A,0,0,D,H Webb,11,12,7,5,10,20,7,1,1,2,0,0,0,0,0,0,27,16,50.3,49.7,0,3,8,3,6,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-09-09,Fulham,Everton,2,1,H,0,1,A,P Walton,14,6,8,6,6,10,5,3,1,0,0,0,0,0,0,0,27,20,51.9,48.1,2,4,8,1,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-09-09,Arsenal,Wigan,4,0,H,1,0,H,M Jones,23,8,11,5,6,18,6,4,2,2,0,0,0,0,0,0,26,9,50.3,49.7,3,12,8,1,3,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-09-09,Aston Villa,Portsmouth,2,0,H,2,0,H,S Attwell,7,17,5,12,17,12,7,5,2,0,0,0,1,0,1,0,22,23,49,51,0,2,5,1,2,14,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-09-09,Bolton,Stoke,1,1,D,0,0,D,M Clattenburg,11,10,5,6,6,11,4,6,2,2,0,0,1,0,1,0,22,24,51.5,48.5,0,7,4,0,4,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-09-09,Burnley,Sunderland,3,1,H,1,1,D,C Foy,10,8,3,5,4,15,4,4,0,3,0,0,1,0,1,0,18,31,50.3,49.7,0,4,6,1,4,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-09-09,Hull,Birmingham,0,1,A,0,0,D,P Dowd,16,14,11,9,15,13,10,8,0,2,0,0,0,0,0,0,29,17,44.6,55.4,2,4,10,2,7,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-09-09,West Ham,Liverpool,2,3,A,2,2,D,A Marriner,8,19,5,15,13,17,4,4,3,3,0,0,1,0,1,0,12,19,42.1,57.9,1,5,2,2,6,11,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-09-09,Chelsea,Tottenham,3,0,H,1,0,H,H Webb,25,9,15,4,7,9,11,3,0,2,0,0,0,0,0,0,34,15,49.1,50.9,2,10,14,0,4,5,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-09-09,Everton,Blackburn,3,0,H,1,0,H,L Mason,18,7,11,4,15,18,6,2,1,2,0,0,0,0,0,0,27,23,57,43,1,10,7,1,5,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-09-09,Man United,Man City,4,3,H,1,1,D,M Atkinson,21,10,11,6,15,14,11,1,2,2,0,0,0,0,0,0,46,7,61,39,3,12,6,2,4,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-09-09,Wolves,Fulham,2,1,H,1,0,H,K Friend,12,3,4,1,14,11,3,3,1,1,0,0,0,1,0,1,17,24,44.5,55.5,1,6,5,0,2,1,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-09-09,Birmingham,Bolton,1,2,A,0,1,A,S Bennett,12,10,6,4,9,17,8,4,2,1,0,0,0,0,0,0,42,21,62.3,37.7,0,6,6,3,2,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-09-09,Blackburn,Aston Villa,2,1,H,1,1,D,M Clattenburg,15,10,7,5,14,11,6,5,2,3,1,0,1,0,1,0,16,27,47.5,52.5,1,10,4,0,6,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-09-09,Fulham,Arsenal,0,1,A,0,0,D,M Atkinson,18,14,12,4,14,11,4,6,4,0,0,0,0,0,0,0,25,23,49.1,50.9,2,7,9,2,8,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-09-09,Liverpool,Hull,6,1,H,2,1,H,P Walton,22,7,14,3,10,3,13,2,1,4,0,0,0,0,0,0,41,11,63.4,36.6,3,15,4,0,2,5,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-09-09,Portsmouth,Everton,0,1,A,0,1,A,A Wiley,16,12,12,8,14,17,5,6,0,3,0,0,0,0,0,0,26,27,51.4,48.6,3,6,8,1,6,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-09-09,Stoke,Man United,0,2,A,0,0,D,H Webb,2,13,1,7,9,8,2,7,1,1,0,0,0,0,0,0,10,30,31.8,68.2,1,1,1,1,8,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-09-09,Tottenham,Burnley,5,0,H,2,0,H,M Dean,18,10,12,7,10,14,2,7,1,1,0,0,1,0,1,0,17,26,51.3,48.7,1,10,7,2,5,3,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-09-09,Wigan,Chelsea,3,1,H,1,0,H,P Dowd,15,14,9,8,11,11,4,7,1,2,0,1,1,0,1,0,8,18,46.8,53.2,1,4,10,1,8,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27-09-09,Sunderland,Wolves,5,2,H,1,0,H,L Mason,10,15,8,11,18,11,7,8,1,3,0,0,2,0,2,0,24,31,47.3,52.7,0,8,3,2,8,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-09-09,Man City,West Ham,3,1,H,2,1,H,C Foy,20,12,12,8,18,14,11,5,1,1,0,0,0,0,0,0,24,16,52.7,47.3,2,11,7,2,4,6,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-10-09,Bolton,Tottenham,2,2,D,1,1,D,M Jones,12,17,9,9,15,16,5,6,2,1,0,0,0,0,0,0,25,25,39,61,2,7,3,1,9,7,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-10-09,Burnley,Birmingham,2,1,H,0,0,D,K Friend,15,10,13,6,17,11,8,4,0,3,0,0,0,0,0,0,25,9,58.7,41.3,0,7,8,1,3,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-10-09,Hull,Wigan,2,1,H,0,0,D,M Clattenburg,11,13,6,5,14,8,4,2,0,2,0,0,0,0,0,0,15,15,25.6,74.4,3,3,5,1,5,7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-10-09,Man United,Sunderland,2,2,D,0,1,A,A Wiley,17,4,9,3,11,15,14,1,2,3,0,1,0,0,0,0,48,11,63.1,36.9,2,5,10,0,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03-10-09,Wolves,Portsmouth,0,1,A,0,1,A,H Webb,11,12,5,8,8,12,8,6,1,2,0,0,0,0,0,0,35,16,60.1,39.9,3,4,4,1,7,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04-10-09,Arsenal,Blackburn,6,2,H,3,2,H,P Walton,24,7,18,7,9,10,8,1,1,1,0,0,0,0,0,0,26,13,65.1,34.9,4,9,11,0,3,4,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
